,N of colex,Recall,Model
236,100,0.6014925373134329,NPM+Family
237,100,0.6681034482758621,NPM+Family
238,100,0.604225352112676,NPM+Family
239,100,0.6317880794701987,NPM+Family
240,100,0.5864978902953587,NPM+Family
241,100,0.6473029045643154,NPM+Family
242,100,0.6370056497175142,NPM+Family
243,100,0.6058394160583942,NPM+Family
244,100,0.5797720797720798,NPM+Family
245,100,0.6255506607929515,NPM+Family
246,100,0.5962314939434724,NPM+Family
247,100,0.6161764705882353,NPM+Family
248,100,0.6043478260869565,NPM+Family
249,100,0.6394557823129252,NPM+Family
250,100,0.6967095851216023,NPM+Subfamily
251,100,0.7,NPM+Subfamily
252,100,0.6478679504814305,NPM+Subfamily
253,100,0.6506364922206507,NPM+Subfamily
254,100,0.6822157434402333,NPM+Subfamily
255,100,0.6731034482758621,NPM+Subfamily
256,100,0.7121001390820584,NPM+Subfamily
257,100,0.637410071942446,NPM+Subfamily
258,100,0.6417489421720733,NPM+Subfamily
259,100,0.6798825256975036,NPM+Subfamily
260,100,0.6661786237188873,NPM+Subfamily
261,100,0.6522988505747126,NPM+Subfamily
262,100,0.6478679504814305,NPM+Subfamily
263,100,0.6172839506172839,NPM+Subfamily
264,100,0.7319884726224783,NPM+Subfamily
265,100,0.6444444444444445,NPM+Subfamily
266,100,0.6782608695652174,NPM+Subfamily
267,100,0.6681614349775785,NPM+Subfamily
268,100,0.6619718309859155,NPM+Subfamily
269,100,0.7054054054054054,NPM+Subfamily
270,100,0.6464788732394366,NPM+Subfamily
271,100,0.6614730878186968,NPM+Subfamily
272,100,0.7100591715976331,NPM+Subfamily
273,100,0.6402877697841727,NPM+Subfamily
274,100,0.6226415094339622,NPM+Subfamily
275,100,0.7124277456647399,NPM+Subfamily
276,100,0.6233576642335766,NPM+Subfamily
277,100,0.6309362279511533,NPM+Subfamily
278,100,0.6666666666666666,NPM+Subfamily
279,100,0.679136690647482,NPM+Subfamily
280,100,0.6651982378854625,NPM+Subfamily
281,100,0.6729106628242075,NPM+Subfamily
282,100,0.6548295454545454,NPM+Subfamily
283,100,0.6369958275382476,NPM+Subfamily
284,100,0.6593707250341997,NPM+Subfamily
285,100,0.6710334788937409,NPM+Subfamily
286,100,0.6476608187134503,NPM+Subfamily
287,100,0.6765536723163842,NPM+Subfamily
288,100,0.6816939890710383,NPM+Subfamily
289,100,0.6420612813370473,NPM+Subfamily
290,100,0.6221910112359551,NPM+Subfamily
291,100,0.6962750716332379,NPM+Subfamily
292,100,0.6128133704735376,NPM+Subfamily
293,100,0.6479076479076479,NPM+Subfamily
294,100,0.71045197740113,NPM+Subfamily
295,100,0.6739446870451238,NPM+Subfamily
296,100,0.7116991643454039,NPM+Subfamily
297,100,0.6288515406162465,NPM+Subfamily
298,100,0.7157142857142857,NPM+Subfamily
299,100,0.6239436619718309,NPM+Subfamily
300,100,0.6028368794326241,NPM+Prob
301,100,0.5734463276836158,NPM+Prob
302,100,0.6160337552742616,NPM+Prob
303,100,0.5991253644314869,NPM+Prob
304,100,0.5897079276773296,NPM+Prob
305,100,0.6060606060606061,NPM+Prob
306,100,0.6074895977808599,NPM+Prob
307,100,0.576056338028169,NPM+Prob
308,100,0.617339312406577,NPM+Prob
309,100,0.566145092460882,NPM+Prob
310,100,0.5747460087082729,NPM+Prob
311,100,0.6111929307805597,NPM+Prob
312,100,0.5652777777777778,NPM+Prob
313,100,0.6121045392022009,NPM+Prob
314,100,0.5868347338935574,NPM+Prob
315,100,0.605925925925926,NPM+Prob
316,100,0.6274787535410765,NPM+Prob
317,100,0.5929577464788732,NPM+Prob
318,100,0.6028571428571429,NPM+Prob
319,100,0.5623306233062331,NPM+Prob
320,100,0.5884831460674157,NPM+Prob
321,100,0.5960170697012802,NPM+Prob
322,100,0.6409537166900421,NPM+Prob
323,100,0.5404255319148936,NPM+Prob
324,100,0.5833333333333334,NPM+Prob
325,100,0.62,NPM+Prob
326,100,0.5826330532212886,NPM+Prob
327,100,0.5784469096671949,NPM+Prob
328,100,0.6265734265734266,NPM+Prob
329,100,0.5563282336578581,NPM+Prob
330,100,0.6255259467040674,NPM+Prob
331,100,0.5726256983240223,NPM+Prob
332,100,0.5835777126099707,NPM+Prob
333,100,0.5826330532212886,NPM+Prob
334,100,0.5894886363636364,NPM+Prob
335,100,0.5862068965517241,NPM+Prob
336,100,0.5810439560439561,NPM+Prob
337,100,0.6341127922971114,NPM+Prob
338,100,0.5975103734439834,NPM+Prob
339,100,0.5482456140350878,NPM+Prob
340,100,0.5743243243243243,NPM+Prob
341,100,0.6005830903790087,NPM+Prob
342,100,0.5683760683760684,NPM+Prob
343,100,0.6028368794326241,NPM+Prob
344,100,0.617816091954023,NPM+Prob
345,100,0.592032967032967,NPM+Prob
346,100,0.575801749271137,NPM+Prob
347,100,0.6201438848920864,NPM+Prob
348,100,0.5734072022160664,NPM+Prob
349,100,0.6232091690544412,NPM+Prob
350,100,0.09442724458204334,Family+Subfamily
351,100,0.02269503546099291,Family+Subfamily
352,100,0.029850746268656716,Family+Subfamily
353,100,0.08119079837618404,Family+Subfamily
354,100,0.05698005698005698,Family+Subfamily
355,100,0.08321775312066575,Family+Subfamily
356,100,0.024691358024691357,Family+Subfamily
357,100,0.07317073170731707,Family+Subfamily
358,100,0.029498525073746312,Family+Subfamily
359,100,0.08238636363636363,Family+Subfamily
360,100,0.07746478873239436,Family+Subfamily
361,100,0.030598052851182198,Family+Subfamily
362,100,0.06932153392330384,Family+Subfamily
363,100,0.041251778093883355,Family+Subfamily
364,100,0.07649513212795549,Family+Subfamily
365,100,0.0752212389380531,Family+Subfamily
366,100,0.08057553956834532,Family+Subfamily
367,100,0.07344632768361582,Family+Subfamily
368,100,0.02894356005788712,Family+Subfamily
369,100,0.02906208718626156,Family+Subfamily
370,100,0.08630952380952381,Family+Subfamily
371,100,0.024566473988439308,Family+Subfamily
372,100,0.03698435277382646,Family+Subfamily
373,100,0.036127167630057806,Family+Subfamily
374,100,0.05844155844155844,Family+Subfamily
375,100,0.07832167832167833,Family+Subfamily
376,100,0.0,Family+Subfamily
377,100,0.06534954407294832,Family+Subfamily
378,100,0.07669172932330827,Family+Subfamily
379,100,0.058823529411764705,Family+Subfamily
380,100,0.07223796033994334,Family+Subfamily
381,100,0.07256894049346879,Family+Subfamily
382,100,0.07932011331444759,Family+Subfamily
383,100,0.03506311360448808,Family+Subfamily
384,100,0.07272727272727272,Family+Subfamily
385,100,0.036414565826330535,Family+Subfamily
